Level1,Level3,Level2,Var
Ciudad Bolívar,Cayeno,193,671
Puente Aranda,Araucaria,16,670
Kennedy,"Chicala, chirlobirlo, flor amarillo",142,659
Suba,Naranjo,37,653
Suba,"Schefflera, Pategallina hojigrande",37,650
Barrios Unidos,Pino pátula,8,648
Chapinero,Acacia morada,110,647
Tunjuelito,Acacia,27,643
Engativá,Sietecueros nazareno,96,638
Usaquén,"Pino colombiano, pino de pacho, pino romerón",38,637
Puente Aranda,"Acacia baracatinga, acacia sabanera, acacia nigra",16,637
Ciudad Bolívar,"Urapán, Fresno",193,636
Bosa,Higuerillo,147,632
Chapinero,Eugenia,110,630
Engativá,"Cedro, cedro andino, cedro clavel",96,629
Suba,Hayuelo,37,629
Kennedy,Hayuelo,138,626
Engativá,"Pino colombiano, pino de pacho, pino romerón",96,623
Tunjuelito,Hayuelo,27,618
Teusaquillo,"Liquidámbar, estoraque",13,618
Usaquén,"Sangregao, drago, croto",38,617
Engativá,Alcaparro doble,96,617
Barrios Unidos,"Chicalá, chirlobirlo, flor amarillo",8,616
Ciudad Bolívar,"Chicala, chirlobirlo, flor amarillo",195,614
Chapinero,"Ciprés, Pino ciprés, Pino",110,612
Santa Fe,Cucharo,164,612
Engativá,"Cajeto, garagay, urapo",96,612
Teusaquillo,Mirto,13,612
Bosa,"Jazmín del cabo, laurel huesito",147,611
La Candelaria,Sauco,191,606
Suba,"Cipres, Pino cipres, Pino",2,599
Barrios Unidos,"Cerezo, capuli",8,597
Puente Aranda,"Acacia negra, gris",16,596
Teusaquillo,"Palma de cera, Palma blanca",13,594
Rafael Uribe Uribe,Falso pimiento,28,593
Kennedy,Pino pátula,138,591
Engativá,Durazno comun,96,591
Rafael Uribe Uribe,Eucalipto pomarroso,28,589
Suba,"Raque, San juanito",37,586
Usaquén,Sietecueros real,38,582
Chapinero,Holly liso,110,582
Usaquén,Cordoncillo,38,580
Kennedy,Sauce llorón,138,580
Fontibón,Acacia morada,102,573
Fontibón,"Caballero de la noche, Jazmín, Dama de noche.",102,573
Usaquén,Magnolio,38,570
Santa Fe,"Palma de yuca, Palma de bayoneta",164,570
San Cristóbal,Arrayán blanco,196,570
Usme,"Acacia baracatinga, acacia sabanera, acacia nigra",36,569
Suba,Palma payanesa,37,567
La Candelaria,Fucsia,191,566
Rafael Uribe Uribe,Caucho sabanero,28,566
Chapinero,Caucho benjamín,110,564
Fontibón,"Palma yuca, palmiche",102,559
Chapinero,"Chicalá, chirlobirlo, flor amarillo",110,558
Barrios Unidos,Roble,8,554
Bosa,"Ciprés, Pino ciprés, Pino",147,548
Ciudad Bolívar,Corono,193,548
Suba,"Tibar, pagoda o rodamonte",37,546
Usme,Tagua,36,545
Kennedy,"Caucho de la india, caucho",138,544
Teusaquillo,Alcaparro doble,13,543
Usaquén,"Nogal, cedro nogal, cedro negro",38,540
Engativá,Naranjo,96,535
Engativá,"Sangregao, drago, croto",96,534
Usme,Mano de oso,204,527
Chapinero,NN,110,518
Bosa,Mangle de tierra fria,158,517
Rafael Uribe Uribe,Jazmín de la china,28,517
Bosa,"Caballero de la noche, Jazmín, Dama de noche.",147,512
Ciudad Bolívar,"Eucalipto de flor, eucalipto lavabotella, Calistemo",193,511
Teusaquillo,"Nogal, cedro nogal, cedro negro",13,503
Engativá,Arrayán blanco,96,501
Teusaquillo,Acacia morada,13,500
Rafael Uribe Uribe,Guayacán de Manizales,28,500
Teusaquillo,Arrayán blanco,13,499
Kennedy,Higuerillo,138,497
Fontibón,Araucaria,102,496
Kennedy,Arrayán blanco,138,494
Ciudad Bolívar,"Chicala, chirlobirlo, flor amarillo",193,493
Suba,Arrayan negro,37,491
Suba,Limón,37,491
Barrios Unidos,Holly liso,8,489
Antonio Nariño,"Acacia baracatinga, acacia sabanera, acacia nigra",26,482
Puente Aranda,"Palma de yuca, Palma de bayoneta",16,482
Ciudad Bolívar,Higuerillo,193,482
Barrios Unidos,"Ciprés, Pino ciprés, Pino",8,480
Puente Aranda,Acacia japonesa,16,480
Usaquén,Helecho palma,38,479
Kennedy,Holly espinoso,138,478
Suba,Cordoncillo,37,478
Los Mártires,Eugenia,165,477
Ciudad Bolívar,Araucaria,193,476
Usme,Laurel de cera (hoja pequeña),36,475
Ciudad Bolívar,Durazno comun,193,475
Antonio Nariño,"Chicalá, chirlobirlo, flor amarillo",26,473
La Candelaria,Abutilón rojo y amarillo,191,469
Chapinero,Falso pimiento,110,465
Fontibón,"Palma de yuca, Palma de bayoneta",102,464
Tunjuelito,"Chicala, chirlobirlo, flor amarillo",27,463
San Cristóbal,Uva camarona,196,462
Kennedy,Corono,138,459
La Candelaria,"Urapán, Fresno",191,459
Kennedy,"Cajeto, garagay, urapo",138,458
Barrios Unidos,Abutilón rojo y amarillo,8,458
Teusaquillo,"Pino colombiano, pino de pacho, pino romerón",13,457
Teusaquillo,Acacia,13,456
Usaquén,"Cipres, Pino cipres, Pino",38,454
San Cristóbal,Tagua,196,454
Usme,Ciro,36,454
Bosa,Araucaria,147,452
Bosa,Cayeno,147,452
Usaquén,Acacia,38,450
Ciudad Bolívar,Dividivi de tierra fria,195,448
Usaquén,Pino libro,38,447
Usme,"Chicalá, chirlobirlo, flor amarillo",36,447
Rafael Uribe Uribe,"Caballero de la noche, Jazmín, Dama de noche.",28,447
San Cristóbal,Corono,196,446
Usaquén,"Cedro, cedro andino, cedro clavel",38,445
Usaquén,"Cajeto, garagay, urapo",38,442
Usme,"Palma yuca, palmiche",36,442
Suba,Pino candelabro,37,439
Usme,Jazmín de la china,36,437
San Cristóbal,Tinto,196,436
Suba,Acacia japonesa,2,436
Chapinero,Pino pátula,110,435
Bosa,"Buganbil, veranera",161,435
Suba,Abutilón blanco,37,435
Puente Aranda,Durazno comun,16,435
Kennedy,Pino candelabro,138,434
Teusaquillo,Sietecueros nazareno,13,434
Antonio Nariño,Sauco,26,434
La Candelaria,Arboloco,191,434
Usme,"Urapán, Fresno",36,430
Kennedy,Brevo,138,429
Engativá,"Palma de cera, Palma blanca",96,429
Teusaquillo,"Caballero de la noche, Jazmín, Dama de noche.",13,429
Teusaquillo,Corono,13,429
Chapinero,Chilco,110,428
Teusaquillo,"Cajeto, garagay, urapo",13,428
Suba,Eugenia,60,425
Engativá,Caucho,96,422
Suba,Tabaquillo,37,422
Kennedy,Sietecueros nazareno,138,420
Suba,Brevo,37,419
Barrios Unidos,Eucalipto,8,417
Antonio Nariño,"Jazmín del cabo, laurel huesito",26,416
Usaquén,Cucharo,38,414
Usaquén,Caucho,38,412
Barrios Unidos,Falso pimiento,8,411
Barrios Unidos,Pino candelabro,8,411
San Cristóbal,Caucho sabanero,196,410
San Cristóbal,Jazmín de la china,196,410
San Cristóbal,"Cerezo, capuli",196,409
Engativá,"Palma de yuca, Palma de bayoneta",96,407
Tunjuelito,Ligustrum,27,406
Bosa,"Palma yuca, palmiche",147,406
Engativá,Pino candelabro,96,405
Santa Fe,NN,164,402
San Cristóbal,Araucaria,196,402
Suba,"Caucho de la india, caucho",37,402
Usaquén,Pino candelabro,38,401
Fontibón,Sauce llorón,102,401
Ciudad Bolívar,Caucho benjamín,193,401
Bosa,Jazmin de la china,182,397
Suba,Eucalipto pomarroso,37,397
Usaquén,Hayuelo,38,395
Chapinero,"Sangregao, drago, croto",110,395
Usaquén,Holly espinoso,38,394
Engativá,Corono,96,394
Rafael Uribe Uribe,Araucaria,28,394
Ciudad Bolívar,Holly espinoso,195,393
Usaquén,Calistemo llorón,38,392
Usme,Laurel de cera,36,391
Santa Fe,"Palma de cera, Palma blanca",164,390
San Cristóbal,Mano de oso,204,390
Suba,Aguacate,37,390
Los Mártires,"Urapán, Fresno",165,389
Los Mártires,Caucho sabanero,165,388
Kennedy,"Nogal, cedro nogal, cedro negro",138,387
Engativá,Sombrilla japonesa,96,387
Teusaquillo,"Acacia negra, gris",13,387
Usme,Pino candelabro,36,386
Engativá,"Caucho de la india, caucho",96,386
Rafael Uribe Uribe,Caucho benjamín,28,385
Tunjuelito,"Jazmín del cabo, laurel huesito",27,384
Engativá,Holly espinoso,96,384
Teusaquillo,Roble,15,384
La Candelaria,Borrachero blanco,191,384
Santa Fe,"Palma yuca, palmiche",164,383
Fontibón,"Aliso, fresno, chaquiro",102,382
Usme,"Aliso, fresno, chaquiro",219,381
Usaquén,"Caballero de la noche, Jazmín, Dama de noche.",38,378
Kennedy,Palma fénix,138,378
Tunjuelito,Cucubo,27,376
Kennedy,Falso pimiento,142,376
Usaquén,Chilco,38,375
Bosa,Caucho benjamín,147,375
Rafael Uribe Uribe,Cipres italiano,28,373
Suba,Mano de oso,2,372
Barrios Unidos,"Palma yuca, palmiche",8,371
Ciudad Bolívar,Ligustrum,195,371
Bosa,Hayuelo,182,370
Antonio Nariño,Eugenia,26,370
Suba,Papayuelo,37,369
San Cristóbal,"Cajeto, garagay, urapo",196,368
Usme,Araucaria,36,368
Los Mártires,Falso pimiento,165,368
Chapinero,Magnolio,110,367
San Cristóbal,Encenillo,196,367
Engativá,Cipres italiano,96,366
Kennedy,Lavanda,162,365
Kennedy,"Liquidámbar, estoraque",138,365
Chapinero,"Duraznillo, velitas",110,363
Fontibón,Eucalipto común,102,363
Fontibón,"Liquidámbar, estoraque",102,363
Barrios Unidos,Eucalipto pomarroso,8,363
Teusaquillo,Caucho,13,363
Chapinero,Arboloco,110,362
Suba,"Cedrillo, Yuco",37,361
Suba,Mangle de tierra fría,37,361
Teusaquillo,Abutilón rojo y amarillo,13,359
Usaquén,Alcaparro enano,38,358
Chapinero,Fucsia,152,358
San Cristóbal,Falso pimiento,196,357
Bosa,Ligustrum,147,356
Fontibón,"Eucalipto de flor, eucalipto lavabotella, Calistemo",102,356
Ciudad Bolívar,Eucalipto común,193,356
Kennedy,"Chicala, chirlobirlo, flor amarillo",23,355
Chapinero,Eucalipto plateado,110,354
San Cristóbal,Cayeno,196,354
Rafael Uribe Uribe,Cayeno,28,354
Ciudad Bolívar,Guayacán de Manizales,193,354
Engativá,Brevo,96,353
Rafael Uribe Uribe,Tominejero,28,353
Bosa,"Cerezo, capuli",147,352
San Cristóbal,Papayuelo,196,349
Puente Aranda,"Chicala, chirlobirlo, flor amarillo",22,349
Usaquén,Durazno comun,38,346
Puente Aranda,"Cajeto, garagay, urapo",16,346
Bosa,Guayacán de Manizales,147,344
Usaquén,"Duraznillo, velitas",38,342
Tunjuelito,Caucho tequendama,27,342
La Candelaria,"Acacia negra, gris",191,341
Suba,Arrayan blanco,2,340
Suba,Sombrilla japonesa,37,338
Suba,Callistemo,37,336
Usaquén,"Palma de cera, Palma blanca",38,335
