Level1,Level3,Level2,Var
Usme,Holly espinoso,36,127
Kennedy,"Acacia baracatinga, acacia sabanera, acacia nigra",143,127
Fontibón,"Caucho de la india, caucho",102,127
Fontibón,"Chicala, chirlobirlo, flor amarillo",12,127
Fontibón,Palma payanesa,102,127
Antonio Nariño,Alcaparro enano,26,127
Puente Aranda,"Cedro, cedro andino, cedro clavel",19,127
Santa Fe,Ligustrum,356,126
Usme,"Cajeto, garagay, urapo",36,126
Usme,Caucho sabanero,212,126
Bosa,Brevo,147,126
Kennedy,Guayabo,138,126
Kennedy,Milflores,21,126
Kennedy,Pajarito,18,126
Fontibón,"Palma de cera, Palma blanca",12,126
Suba,Cayeno,61,126
Suba,"Cedro, cedro andino, cedro clavel",93,126
Usaquén,Pajarito,97,125
Santa Fe,Mano de oso,164,125
Tunjuelito,Araucaria,27,125
Tunjuelito,"Caballero de la noche, Jazmín, Dama de noche.",27,125
Rafael Uribe Uribe,Falso pimiento,30,125
Bosa,Pajarito,182,124
Kennedy,Palma payanesa,138,124
Suba,Arrayan blanco,61,124
Suba,"Ciprés Japones, criptomeria",37,124
Teusaquillo,Eucalipto,13,124
Teusaquillo,Eucalipto plateado,13,124
Antonio Nariño,Holly liso,29,124
Puente Aranda,Arrayán blanco,16,124
Puente Aranda,"Liquidámbar, estoraque",16,124
La Candelaria,Eugenia,191,124
Ciudad Bolívar,Holly liso,202,124
Kennedy,"Cipres, Pino cipres, Pino",157,123
Kennedy,"Urapán, Fresno",157,123
Engativá,Jazmín de la china,100,123
Suba,"Liquidámbar, estoraque",93,123
Teusaquillo,Gaque,13,123
Los Mártires,"Cerezo, capuli",165,123
Puente Aranda,Holly liso,22,123
Ciudad Bolívar,Calistemo lloron,193,123
Ciudad Bolívar,Hayuelo,197,123
San Cristóbal,"Palma de yuca, Palma de bayoneta",196,122
Kennedy,Calistemo,23,122
Kennedy,Gaque,142,122
Kennedy,Garbancillo,142,122
Fontibón,Eugenia,6,122
Suba,Amarrabollo,37,122
Antonio Nariño,"Nogal, cedro nogal, cedro negro",26,122
Rafael Uribe Uribe,Alcaparro enano,28,122
Rafael Uribe Uribe,Holly espinoso,28,122
San Cristóbal,Pino romeron,196,121
Fontibón,"Acacia baracatinga, acacia sabanera, acacia nigra",118,121
Ciudad Bolívar,"Aliso, fresno, chaquiro",193,121
Ciudad Bolívar,Chiripique,195,121
Ciudad Bolívar,Falso pimiento,205,121
Usaquén,Brevo,38,120
Usaquén,Trompeto,38,120
Santa Fe,Chilco,164,120
Usme,"Buganbil, veranera",342,120
Kennedy,Corono,142,120
Kennedy,Palma roebeleni,138,120
Suba,Roble,62,120
Antonio Nariño,Guayacán de Manizales,26,120
Puente Aranda,Pino libro,16,120
Chapinero,Caucho,110,119
Chapinero,"Liquidambar, estoraque",149,119
San Cristóbal,Holly liso,204,119
Kennedy,"Chicala, chirlobirlo, flor amarillo",156,119
Fontibón,Arrayán blanco,102,119
Fontibón,"Chicala, chirlobirlo, flor amarillo",108,119
Fontibón,Naranjo,102,119
Fontibón,Palma fénix,102,119
Engativá,"Liquidambar, estoraque",107,119
Suba,Holly liso,3,119
Antonio Nariño,Cerezo,29,119
Puente Aranda,Falso pimiento,22,119
Puente Aranda,Magnolio,16,119
Usaquén,"Palma de yuca, Palma de bayoneta",38,118
Usaquén,"Pino colombiano, pino de pacho, pino romeron",56,118
Chapinero,Eucalipto,110,118
Chapinero,Tabaquillo,110,118
Santa Fe,Caucho benjamín,164,118
Usme,Falso pimiento,217,118
Tunjuelito,Chiripique,27,118
Bosa,"Chicala, chirlobirlo, flor amarillo",161,118
Bosa,Yarumo,182,118
Kennedy,"Nogal, cedro nogal, cedro negro",142,118
Suba,Arrayán,37,118
Barrios Unidos,Ligustrum,112,118
Teusaquillo,Poligala,13,118
Antonio Nariño,Venturosa,26,118
Kennedy,"Liquidambar, estoraque",18,117
Engativá,"Chicalá, chirlobirlo, flor amarillo",7,117
Suba,"Cajeto, garagay, urapo",351,117
Barrios Unidos,Guayacan de Manizales,10,117
Teusaquillo,Pino romeron,13,117
Usaquén,"Chicala, chirlobirlo, flor amarillo",105,116
San Cristóbal,"Duraznillo, velitas",204,116
San Cristóbal,Holly espinoso,196,116
Tunjuelito,Eucalipto pomarroso,27,116
Kennedy,"Jazmin del cabo, laurel huesito",143,116
Fontibón,Pajarito,6,116
Suba,Cucharo,62,116
Barrios Unidos,"Nogal, cedro nogal, cedro negro",112,116
Ciudad Bolívar,Aguacate,193,116
Suba,"Cajeto, garagay, urapo",3,115
Suba,Palma coquito,37,115
Barrios Unidos,Alcaparro doble,8,115
Ciudad Bolívar,Alcaparro enano,193,115
Usaquén,Naranjo,38,114
San Cristóbal,Sietecueros real,196,114
Kennedy,Cajeto,138,114
Ciudad Bolívar,Holly liso,203,114
Ciudad Bolívar,Mangle de tierra fria,195,114
Usaquén,Guayacan de Manizales,38,113
Usme,Holly liso,342,113
Fontibón,"Schefflera, Pategallina hojipequeña",102,113
Engativá,Araucaria crespa,96,113
Suba,Chicala rosado,61,113
Ciudad Bolívar,"Caucho de la india, caucho",193,113
San Cristóbal,"Cedro, cedro andino, cedro clavel",196,112
San Cristóbal,"Nogal, cedro nogal, cedro negro",204,112
Bosa,"Schefflera, Pategallina hojipequeña",147,112
Kennedy,Jazmin de la china,163,112
Kennedy,Papayuelo,138,112
Fontibón,"Cedro, cedro andino, cedro clavel",102,112
Fontibón,"Chicala, chirlobirlo, flor amarillo",6,112
Suba,Cerezo,93,112
Barrios Unidos,Corono,8,112
Antonio Nariño,"Caballero de la noche, Jazmín, Dama de noche.",26,112
Ciudad Bolívar,Sietecueros nazareno,193,112
Usaquén,Roble,105,111
La Candelaria,"Ciprés, Pino ciprés, Pino",191,111
Usaquén,Araucaria crespa,38,110
Chapinero,Holly espinoso,110,110
San Cristóbal,Cucubo,196,110
Usme,Alcaparro doble,36,110
Usme,"Nogal, cedro nogal, cedro negro",204,110
Usme,"Tibar, pagoda o rodamonte",268,110
Usme,Tomatillo,36,110
Bosa,Palma fénix,147,110
Kennedy,Cayeno,142,110
Kennedy,Jazmin de la china,18,110
Fontibón,"Chicala, chirlobirlo, flor amarillo",113,110
Fontibón,Guayacan de Manizales,118,110
Engativá,"Aliso, fresno, chaquiro",61,110
Suba,Arrayan blanco,60,110
Suba,Fucsia arbustiva,60,110
Teusaquillo,Pajarito,17,110
Antonio Nariño,"Jazmin del cabo, laurel huesito",26,110
Rafael Uribe Uribe,Cucharo,30,110
Usaquén,"Nogal, cedro nogal, cedro negro",97,109
Usaquén,Sauce lloron,38,109
Usme,Corono,342,109
Kennedy,"Chicalá, chirlobirlo, flor amarillo",18,109
Kennedy,Palma Alejandra,142,109
Fontibón,Eucalipto común,108,109
Suba,Guayacan de Manizales,355,109
Ciudad Bolívar,Jazmin de la china,202,109
Usaquén,Angelito,38,108
San Cristóbal,"Pino colombiano, pino de pacho, pino romeron",204,108
Usme,"Chicala, chirlobirlo, flor amarillo",212,108
Fontibón,Eucalipto pomarroso,102,108
Engativá,Guayacan de Manizales,107,108
Suba,Arrayan negro,2,108
Barrios Unidos,Pino libro,8,108
Teusaquillo,Palma payanesa,13,108
Puente Aranda,Cayeno,22,108
Rafael Uribe Uribe,Caucho,28,108
Usaquén,Cayeno,97,107
Usaquén,"Nogal, cedro nogal, cedro negro",105,107
Usaquén,Palma washingtoniana,38,107
Usaquén,"Urapán, Fresno",101,107
Usme,Brevo,36,107
Tunjuelito,"Liquidambar, estoraque",27,107
Bosa,"Caucho de la india, caucho",147,107
Bosa,Caucho sabanero,182,107
Bosa,"Jazmin del cabo, laurel huesito",190,107
Bosa,Milflores,190,107
Fontibón,Falso pimiento,108,107
Suba,"Acacia baracatinga, acacia sabanera, acacia nigra",93,107
Suba,Caucho sabanero,93,107
Usaquén,"Caballero de la noche, Jazmin, Dama de noche",97,106
Usaquén,Falso pimiento,56,106
Usaquén,Palma payanesa,38,106
Usaquén,Sauce,38,106
Chapinero,"Cajeto, garagay, urapo",110,106
Santa Fe,Pino pátula,164,106
San Cristóbal,Gaque,196,106
Tunjuelito,"Espino, Garbancillo",27,106
Kennedy,Cucharo,138,106
Kennedy,Tabaquillo,138,106
Engativá,"Chicala, chirlobirlo, flor amarillo",7,106
Suba,Acacia azul,351,106
Suba,Corono,93,106
Barrios Unidos,Guayacan de Manizales,9,106
Barrios Unidos,"Schefflera, Pategallina hojigrande",8,106
Teusaquillo,"Ayer, hoy y mañana",13,106
Ciudad Bolívar,Caucho sabanero,195,106
Usaquén,Eugenia,103,105
Usaquén,Mano de oso,103,105
Santa Fe,Corono,164,105
Bosa,Guayacan de Manizales,182,105
Bosa,Holly liso,161,105
Bosa,Jazmin de la china,158,105
Bosa,"Jazmin del cabo, laurel huesito",147,105
Kennedy,Eugenia,142,105
Fontibón,"Liquidambar, estoraque",118,105
Suba,Falso pimiento,61,105
Suba,Fucsia arbustiva,93,105
Suba,"Palma de cera, Palma de ramo",37,105
Suba,Pino romeron,93,105
Barrios Unidos,"Aliso, fresno, chaquiro",8,105
Puente Aranda,"Ayer, hoy y mañana",16,105
Puente Aranda,Chocho,16,105
Rafael Uribe Uribe,Caucho tequendama,30,105
Rafael Uribe Uribe,Papayuelo,28,105
Usaquén,Cipres italiano,38,104
Usaquén,Sauco,94,104
Usme,Caucho benjamín,36,104
Usme,Holly liso,212,104
Usme,"Sangregao, drago, croto",36,104
Kennedy,Guayacán de Manizales,143,104
Kennedy,"Liquidambar, estoraque",142,104
Suba,"Raque, San juanito",2,104
Los Mártires,Guayacán de Manizales,165,104
Rafael Uribe Uribe,Calistemo llorón,28,104
Ciudad Bolívar,Cajeto,193,104
Usaquén,"Grevilia, roble australiano",38,103
Chapinero,Jazmín de la china,110,103
Chapinero,Papayuelo,110,103
Santa Fe,"Acacia negra, gris",149,103
San Cristóbal,"Buganbil, veranera",192,103
San Cristóbal,"Cedrillo, Yuco",196,103
Usme,"Buganbil, veranera",268,103
Tunjuelito,Durazno comun,27,103
Bosa,Callistemo,147,103
Kennedy,Falso pimiento,156,103
Kennedy,Hayuelo,23,103
Los Mártires,Ligustrum,165,103
Ciudad Bolívar,Guayacan de Manizales,193,103
Ciudad Bolívar,Sauce llorón,193,103
Usaquén,Caucho tequendama,38,102
Usme,NN,204,102
Usme,Tabaquillo,36,102
Tunjuelito,Milflores,27,102
Bosa,Chiripique,161,102
Bosa,Mangle de tierra fria,190,102
Bosa,NN,147,102
Kennedy,"Chicala, chirlobirlo, flor amarillo",163,102
Kennedy,Holly liso,18,102
Kennedy,Jazmin de la china,138,102
Rafael Uribe Uribe,"Chicala, chirlobirlo, flor amarillo",30,102
Chapinero,Eugenia,152,101
Santa Fe,Eucalipto plateado,164,101
Santa Fe,Sietecueros nazareno,164,101
Bosa,Jazmin de la china,161,101
Kennedy,Palma coquito,138,101
Engativá,Mortiño,96,101
Suba,"Cedro, cedro andino, cedro clavel",60,101
Suba,Laurel de cera,37,101
Antonio Nariño,Araucaria,26,101
Puente Aranda,Holly espinoso,16,101
Rafael Uribe Uribe,Guayacan de Manizales,30,101
Rafael Uribe Uribe,NN,28,101
Ciudad Bolívar,Ligustrum,202,101
Ciudad Bolívar,Naranjo,193,101
Usaquén,Cerezo,105,100
Usaquén,Tinto,38,100
Usme,Amarguero amarillo,36,100
Usme,"Eucalipto de flor, eucalipto lavabotella, Calistemo",36,100
Kennedy,Cayeno,18,100
Engativá,"Cajeto, garagay, urapo",7,100
Teusaquillo,"Chicala, chirlobirlo, flor amarillo",15,100
Rafael Uribe Uribe,Sauce llorón,28,100
Ciudad Bolívar,Callistemo,193,100
Santa Fe,Cipres,164,99
Kennedy,"Jazmin del cabo, laurel huesito",23,99
Kennedy,Ligustrum,23,99
Suba,Ligustrum,60,99
Suba,"Ocobo, Guayacan",355,99
Antonio Nariño,"Urapán, Fresno",29,99
Puente Aranda,Alcaparro doble,16,99
Rafael Uribe Uribe,Sauce lloron,30,99
Ciudad Bolívar,"Palma de yuca, Palma de bayoneta",193,99
Bosa,"Cajeto, garagay, urapo",158,98
Kennedy,Magnolio,138,98
Fontibón,"Cajeto, garagay, urapo",6,98
Engativá,"Liquidambar, estoraque",99,98
Suba,Carbonero,37,98
Suba,Pino romeron,2,98
Barrios Unidos,Durazno comun,8,98
Antonio Nariño,Eucalipto pomarroso,26,98
Rafael Uribe Uribe,Naranjo,28,98
San Cristóbal,"Caucho de la india, caucho",196,97
San Cristóbal,Milflores,196,97
Bosa,Abutilón rojo y amarillo,147,97
Kennedy,"Duraznillo, velitas",138,97
Kennedy,Falso pimiento,159,97
Teusaquillo,Cipres italiano,13,97
Puente Aranda,Roble,22,97
La Candelaria,NN,191,97
Ciudad Bolívar,"Jazmin del cabo, laurel huesito",193,97
Usaquén,"Chicalá, chirlobirlo, flor amarillo",103,96
Usaquén,Gaque,38,96
Usaquén,Guayacan de Manizales,94,96
Santa Fe,"Liquidámbar, estoraque",164,96
San Cristóbal,"Duraznillo, velitas",196,96
Usme,Guayacan de Manizales,212,96
Kennedy,Roble australiano,143,96
Engativá,Sauco,107,96
Engativá,"Tibar, pagoda o rodamonte",107,96
Suba,Eugenia,93,96
Teusaquillo,"Cajeto, garagay, urapo",15,96
Los Mártires,Magnolio,165,96
Rafael Uribe Uribe,Ciro,28,96
Ciudad Bolívar,Acacia morada,193,96
Usaquén,"Cedrillo, Yuco",38,95
Santa Fe,Eucalipto,164,95
Santa Fe,"Pino colombiano, chaquiro",164,95
Kennedy,"Cipres, Pino cipres, Pino",143,95
Kennedy,Hayuelo,143,95
Kennedy,"Jazmin del cabo, laurel huesito",18,95
Fontibón,"Cajeto, garagay, urapo",118,95
Engativá,Fucsia arbustiva,96,95
Engativá,"Liquidambar, estoraque",5,95
Teusaquillo,"Pino colombiano, pino de pacho, pino romeron",13,95
Teusaquillo,"Sangregao, drago, croto",15,95
Rafael Uribe Uribe,Aguacate,28,95
Chapinero,Acacia morada,111,94
San Cristóbal,"Tibar, pagoda o rodamonte",196,94
Usme,Holly liso,217,94
Tunjuelito,"Aliso, fresno, chaquiro",27,94
Bosa,"Nogal, cedro nogal, cedro negro",147,94
Kennedy,Abutilón rojo y amarillo,162,94
Fontibón,Palma Alejandra,113,94
Fontibón,Roble,108,94
Suba,Guayacán de Manizales,3,94
Barrios Unidos,Palma Alejandra,8,94
Los Mártires,Acacia japonesa,165,94
Puente Aranda,Sombrilla japonesa,16,94
Ciudad Bolívar,Falso pimiento,198,94
San Cristóbal,Uva de Anís,196,93
Usme,"Espino, Garbancillo",204,93
Bosa,Ligustrum,190,93
Bosa,Mangle de tierra fria,147,93
Kennedy,Holly liso,156,93
Kennedy,"Liquidambar, estoraque",143,93
Kennedy,Sauce lloron,143,93
Engativá,"Chicala, chirlobirlo, flor amarillo",5,93
Engativá,Guayacan de Manizales,5,93
Suba,Arrayan blanco,93,93
Suba,"Cariseco, Tres hojas",37,93
Barrios Unidos,Hayuelo,9,93
Barrios Unidos,Palma payanesa,8,93
Teusaquillo,Ligustrum,160,93
Teusaquillo,Mangle de tierra fría,13,93
Ciudad Bolívar,Eucalipto pomarroso,195,93
Usaquén,Cipres,38,92
Usaquén,Ciprés enano,38,92
Usaquén,Laurel de cera (hoja pequeña),38,92
Santa Fe,"Cedrillo, Yuco",164,92
Usme,Arrayan,212,92
Usme,"Duraznillo, velitas",219,92
Tunjuelito,"Liquidámbar, estoraque",27,92
Bosa,"Schefflera, Pategallina hojigrande",147,92
Bosa,Tinto,182,92
Kennedy,Abutilon rojo y amarillo (Farolito),143,92
Kennedy,Callistemo,138,92
Kennedy,Falso pimiento,21,92
Fontibón,Sietecueros real,102,92
Engativá,Arboloco,96,92
Suba,Cerezo,60,92
Suba,Dividivi de tierra fría,37,92
Suba,Tuno esmeraldo,62,92
Barrios Unidos,Fucsia arbustiva,10,92
Barrios Unidos,Tominejero,8,92
Teusaquillo,"Pino colombiano, pino de pacho, pino romerón",15,92
Teusaquillo,Pitosporo,13,92
Ciudad Bolívar,"Chicala, chirlobirlo, flor amarillo",198,92
Ciudad Bolívar,"Chicala, chirlobirlo, flor amarillo",205,92
Chapinero,Jazmin de la china,110,91
San Cristóbal,Caucho tequendama,196,91
Usme,"Cajeto, garagay, urapo",342,91
Kennedy,"Cajeto, garagay, urapo",148,91
Fontibón,Cipres,102,91
Fontibón,Hayuelo,109,91
Engativá,Ligustrum,96,91
Barrios Unidos,"Caucho de la india, caucho",8,91
Puente Aranda,Acacia,16,91
Puente Aranda,Holly liso,24,91
La Candelaria,"Cerezo, capuli",191,91
Rafael Uribe Uribe,Gaque,28,91
Ciudad Bolívar,Arrayan blanco,193,91
Ciudad Bolívar,"Chicalá, chirlobirlo, flor amarillo",195,91
Usme,"Cajeto, garagay, urapo",268,90
Bosa,Pajarito,147,90
Kennedy,"Cajeto, garagay, urapo",18,90
Kennedy,Lupinus,143,90
Kennedy,Mano de oso,142,90
Fontibón,Araucaria crespa,102,90
Fontibón,Poligala,6,90
Engativá,Caucho sabanero,5,90
Engativá,Palma coquito,96,90
Antonio Nariño,Durazno comun,26,90
La Candelaria,Guayacán de Manizales,191,90
Usaquén,Abutilón blanco,38,89
Chapinero,Cucharo,110,89
Santa Fe,Palma fénix,164,89
San Cristóbal,"Raque, San juanito",204,89
Tunjuelito,Alcaparro enano,27,89
Kennedy,Chicala rosado,142,89
Fontibón,Ligustrum,118,89
Engativá,"Jazmin del cabo, laurel huesito",5,89
Engativá,Mano de oso,7,89
Barrios Unidos,"Schefflera, Pategallina hojipequeña",8,89
Teusaquillo,Amarrabollo,13,89
Teusaquillo,Brevo,13,89
Antonio Nariño,Pino candelabro,26,89
La Candelaria,"Duraznillo, velitas",191,89
Ciudad Bolívar,Holly liso,205,89
Ciudad Bolívar,Pino pátula,193,89
Ciudad Bolívar,Tibar,195,89
Usaquén,Guayacan de Manizales,95,88
Usaquén,"Liquidambar, estoraque",94,88
Usme,"Duraznillo, velitas",212,88
Tunjuelito,Callistemo,27,88
Bosa,Sietecueros nazareno,147,88
Kennedy,Eugenia,156,88
Kennedy,Guayacan de Manizales,138,88
Kennedy,Ligustrum,18,88
Fontibón,"Cajeto, garagay, urapo",109,88
Fontibón,Milflores,109,88
Engativá,Chocho,61,88
Suba,Mano de oso,355,88
Puente Aranda,Ligustrum,24,88
La Candelaria,Tinto,191,88
Usaquén,Calistemo,38,87
Usaquén,Mimbre,38,87
San Cristóbal,"Cajeto, garagay, urapo",204,87
San Cristóbal,Ciro,196,87
San Cristóbal,"Schefflera, Pategallina hojigrande",196,87
Kennedy,Eugenia,157,87
Fontibón,"Cajeto, garagay, urapo",12,87
Fontibón,"Jazmin del cabo, laurel huesito",118,87
Fontibón,"Sangregao, drago, croto",118,87
Engativá,Ligustrum,99,87
Suba,Jazmin de la china,61,87
Suba,Mano de oso,93,87
Suba,Té de Bogotá,37,87
Usaquén,Acacia morada,97,86
Usaquén,Fucsia,103,86
Usaquén,Mangle de tierra fría,38,86
Usaquén,Sauco,64,86
Usaquén,Yarumo,97,86
Chapinero,Acacia morada,152,86
Santa Fe,Angelito,164,86
San Cristóbal,"Pino colombiano, pino de pacho, pino romeron",201,86
Usme,Hayuelo,219,86
Tunjuelito,Calistemo llorón,27,86
Kennedy,"Nogal, cedro nogal, cedro negro",18,86
Fontibón,"Urapán, Fresno",108,86
Engativá,"Chicala, chirlobirlo, flor amarillo",98,86
Engativá,Poligala,107,86
Suba,Palma Alejandra,53,86
Suba,"Pino colombiano, pino de pacho, pino romerón",351,86
Suba,Roble,3,86
Puente Aranda,"Jazmin del cabo, laurel huesito",22,86
Rafael Uribe Uribe,Sietecueros nazareno,28,86
Ciudad Bolívar,Jazmin de la china,205,86
San Cristóbal,"Liquidámbar, estoraque",196,85
San Cristóbal,Naranjo,196,85
Usme,Corono,219,85
Kennedy,Palma Alejandra,18,85
Kennedy,"Palma de cera, Palma blanca",138,85
Engativá,Amarrabollo,96,85
Engativá,Corono,61,85
Suba,Eugenia,3,85
Barrios Unidos,Guayacán de Manizales,10,85
Teusaquillo,Citrus spp.,13,85
Los Mártires,"Liquidambar, estoraque",165,85
La Candelaria,Tabaquillo,191,85
Usaquén,Eugenia,64,84
Chapinero,Guayacán de Manizales,111,84
Kennedy,"Cajeto, garagay, urapo",156,84
Kennedy,"Espino, Garbancillo",138,84
Fontibón,Guayacan de Manizales,6,84
Engativá,Arboloco,99,84
Suba,"Duraznillo, velitas",2,84
Suba,"Sangregao, drago, croto",61,84
Puente Aranda,Ligustrum,22,84
Ciudad Bolívar,"Chicala, chirlobirlo, flor amarillo",197,84
Usaquén,Acacia morada,103,83
Usaquén,Mangle de tierra fria,97,83
Usaquén,Sauco,101,83
Chapinero,Acacia japonesa,111,83
San Cristóbal,Roble,199,83
Kennedy,Calistemo lloron,142,83
Kennedy,Roble,142,83
Fontibón,Endrino,118,83
Suba,"Chicala, chirlobirlo, flor amarillo",53,83
Barrios Unidos,Carbonero rojo,8,83
Ciudad Bolívar,Araucaria crespa,193,83
Ciudad Bolívar,Mangle de tierra fria,202,83
Ciudad Bolívar,Salvio negro,193,83
Usme,Dividivi de tierra fria,342,82
Fontibón,"Acacia baracatinga, acacia sabanera, acacia nigra",6,82
Fontibón,"Palma de cera, Palma blanca",102,82
Suba,Agracejo,37,82
Suba,Alcaparro enano,60,82
Suba,Mano de oso,62,82
Suba,Uva camarona,37,82
Antonio Nariño,"Caucho de la india, caucho",26,82
Puente Aranda,Hayuelo,16,82
Ciudad Bolívar,Papayuelo,193,82
Ciudad Bolívar,Sombrilla japonesa,193,82
Usaquén,"Ocobo, Guayacan",97,81
Usaquén,Pino romeron,97,81
Usaquén,Sangregado,38,81
Chapinero,Amarguero amarillo,110,81
Chapinero,"Jazmín del cabo, laurel huesito",111,81
Santa Fe,"Cipres, Pino cipres, Pino",164,81
San Cristóbal,"Chicala, chirlobirlo, flor amarillo",32,81
Usme,Naranjo,36,81
Kennedy,Ciro,159,81
Kennedy,Gaque,138,81
Kennedy,"Liquidambar, estoraque",21,81
Engativá,"Cedro, cedro andino, cedro clavel",100,81
Suba,"Cedro, cedro andino, cedro clavel",2,81
Suba,"Sangregao, drago, croto",93,81
Puente Aranda,Alcaparro enano,22,81
Puente Aranda,Caucho sabanero,20,81
Puente Aranda,Fucsia arbustiva,22,81
Rafael Uribe Uribe,Uva camarona,28,81
Usaquén,"Palma de cera, Palma blanca",94,80
Usaquén,"Palma de cera, Palma de ramo",38,80
Santa Fe,Falso pimiento,356,80
San Cristóbal,Tibar,204,80
Usme,Guayacan de Manizales,36,80
Bosa,Mandarina,147,80
Bosa,Milflores,147,80
Kennedy,"Palma de cera, Palma blanca",156,80
Engativá,Alcaparro enano,98,80
Engativá,"Curapin, Campanilla",96,80
Engativá,Hayuelo,61,80
Suba,Ciro,61,80
Suba,Sauce llorón,3,80
Teusaquillo,Chicala rosado,13,80
Puente Aranda,Corono,16,80
Ciudad Bolívar,Feijoa,193,80
Usaquén,Tominejero,38,79
Chapinero,Corono,110,79
Chapinero,Hayuelo,110,79
Chapinero,Palma Alejandra,110,79
Chapinero,Palma coquito,110,79
Usme,Caucho sabanero,217,79
Usme,Jazmin de la china,212,79
Bosa,Jazmín de la china,190,79
Kennedy,Chilco,138,79
Kennedy,Guayacan de Manizales,18,79
Suba,"Chicala, chirlobirlo, flor amarillo",3,79
Suba,Corono,60,79
Suba,Holly liso,61,79
Suba,Laurel de cera (hoja pequeña),37,79
Suba,Roble,352,79
Suba,"Sangregao, drago, croto",2,79
Barrios Unidos,Caucho tequendama,8,79
Los Mártires,"Ciprés, Pino ciprés, Pino",165,79
Puente Aranda,Chicala rosado,22,79
Puente Aranda,Palma fénix,16,79
Chapinero,Sauco,152,78
San Cristóbal,Pino libro,196,78
Usme,Metrosideros,217,78
Usme,"Palma de cera, Palma blanca",212,78
Bosa,"Aliso, fresno, chaquiro",147,78
Kennedy,"Duraznillo, velitas",142,78
Fontibón,Alcaparro enano,109,78
Engativá,Ciro,96,78
Engativá,"Palma de cera, Palma de ramo",96,78
Engativá,Poligala,11,78
Suba,Falso pimiento,2,78
Suba,Sangregado,37,78
Barrios Unidos,Cayeno,9,78
Teusaquillo,"Palma de yuca, Palma de bayoneta",13,78
Teusaquillo,Roble,17,78
Antonio Nariño,NN,26,78
Rafael Uribe Uribe,"Chicala, chirlobirlo, flor amarillo",28,78
Ciudad Bolívar,Poligala,195,78
Usaquén,Acacia ,38,77
Usaquén,Calistemo llorón,105,77
Usaquén,Palma fénix,38,77
Chapinero,Acacia de jardín,110,77
Chapinero,Mirto,110,77
Santa Fe,Guayacan de Manizales,356,77
Tunjuelito,Pino pátula,27,77
Kennedy,Ciro,142,77
Kennedy,Cucharo,142,77
Fontibón,"Acacia negra, gris",106,77
Fontibón,Caucho tequendama,102,77
Fontibón,Guayacan de Manizales,108,77
Fontibón,Holly liso,109,77
Engativá,"Chicala, chirlobirlo, flor amarillo",99,77
Engativá,"Sangregao, drago, croto",61,77
Suba,Alcaparro doble,2,77
Suba,"Aliso, fresno, chaquiro",53,77
Teusaquillo,Algodón extranjero,13,77
Teusaquillo,"Grevilia, roble australiano",13,77
Puente Aranda,"Cajeto, garagay, urapo",24,77
Puente Aranda,Metrosideros,20,77
Ciudad Bolívar,Caucho,193,77
Usaquén,Eucalipto pomarroso,97,76
Usme,Cajeto,219,76
Usme,"Pino colombiano, pino de pacho, pino romerón",36,76
Usme,"Schefflera, Pategallina hojipequeña",36,76
Bosa,Alcaparro enano,190,76
Kennedy,Hayuelo,159,76
Kennedy,Holly liso,21,76
Fontibón,Alcaparro enano,118,76
Engativá,Arrayan blanco,107,76
Engativá,Holly liso,107,76
Engativá,Pino romeron,96,76
Suba,"Cajeto, garagay, urapo",61,76
Teusaquillo,Milflores,13,76
Teusaquillo,Roble,160,76
Puente Aranda,Corono,19,76
Usaquén,"Acacia blanca, leucaena",38,75
Usaquén,Fucsia arbustiva,94,75
Usaquén,Tuno,38,75
Chapinero,"Cedro, cedro andino, cedro clavel",110,75
Santa Fe,Magnolio,164,75
Usme,Calistemo llorón,36,75
Usme,"Chicala, chirlobirlo, flor amarillo",217,75
Bosa,Sombrilla japonesa,147,75
Kennedy,"Caballero de la noche, Jazmin, Dama de noche",142,75
Kennedy,Jazmin de la china,162,75
Kennedy,Palma de datiles,138,75
Engativá,"Chicala, chirlobirlo, flor amarillo",104,75
Suba,Arrayan,60,75
Barrios Unidos,Acacia,8,75
Teusaquillo,"Nogal, cedro nogal, cedro negro",155,75
Los Mártires,NN,165,75
Puente Aranda,Mandarina,16,75
Puente Aranda,"Nogal, cedro nogal, cedro negro",22,75
La Candelaria,"Sangregao, drago, croto",191,75
Rafael Uribe Uribe,Callistemo,28,75
Rafael Uribe Uribe,"Cerezo, capuli",28,75
Ciudad Bolívar,"Cajeto, garagay, urapo",195,75
Ciudad Bolívar,Pino candelabro,193,75
Usaquén,Laurel de cera,38,74
Santa Fe,Alcaparro enano,164,74
San Cristóbal,Ligustrum,201,74
San Cristóbal,"Nogal, cedro nogal, cedro negro",196,74
Usme,Eugenia,217,74
Bosa,Calistemo llorón,147,74
Bosa,"Liquidambar, estoraque",182,74
Bosa,Mulato,182,74
Kennedy,Lavanda,18,74
Kennedy,Sauco,142,74
Engativá,Laurel de cera,98,74
Engativá,Sangregado,96,74
Suba,"Aliso, fresno, chaquiro",93,74
Suba,"Cedro, cedro andino, cedro clavel",62,74
Suba,Cucharo,53,74
Suba,Laurel de cera,2,74
Suba,Mano de oso,351,74
Suba,Mano de oso,61,74
Suba,Pajarito,355,74
Suba,Pino romeron,61,74
Suba,Sauco,61,74
Barrios Unidos,Bonetero del Japon,8,74
Puente Aranda,"Cedro, cedro andino, cedro clavel",16,74
Usaquén,Guamo santafereño,38,73
