x,y,z
101155.613,118710.064,12.5
94824.935,102244.9123,19.9816163
100664.283,103399.832,35.5437856
98236.873,93137.289,23.1044514
99742.906,113948.862,28.6254264
99633.267,111904.74,16
89907.995,97689.709,15
97609.846,92235.212,15.6
96926.369,95953.447,21.7780051
102321.401,124546.871,45.670051
104412.682,118153.1099,15
99914.32,113812.507,37.9330789
91918.548,97119.061,50.4511069
97225.289,118212.48,38.4404603
102963.688,110834.663,90.7581694
95301.6747,89629.6224,7
101635.124,102781.97,33.8854856
95866.822,101432.509,26.5518518
97573.314,95305.775,21.262425
94603.667,102182.897,27.5267006
97718.392,100153.977,16
95435.696,89476.131,44
96883.049,114424.587,92.0922837
90989.732,106122.075,18.1721977
98432.948,106474.102,21.7946948
93818.777,102896.581,42.8515242
100086.598,114020.5817,28.503662
96172.908,113068.424,8
103134.04,113620.476,34.3043169
95232.302,91461.773,19.7001851
101178.599,114588.939,84.6243586
104372.252,122973.696,154.2811091
96124.851,101015.797,15.8
99287.521,114924.922,47.9409353
103011.61,118949.975,10
100883.21,117360.724,21.079222
95810.999,118248.298,42.4978709
98008.502,117998.098,11
99497.888,113430.287,10
103035.149,109591.448,16.9
96897.336,118235.802,36.304487
98117.4189,98619.3872,81.4368294
96844.303,108318.162,13
95770.3665,109600.3817,82.6783952
97069.691,116164.394,162.2016076
101546.617,99109.999,12.2
103184.8778,118339.0995,50.3020546
105124.307,110274.007,7.6
98567.383,105592.807,29.1276659
99953.558,111969.881,86.3632554
107019.056,107699.913,9.5
93719.304,97531.654,16
98806.1142,91854.8933,159.6820423
94867.075,109775.951,53.8707922
90145.262,101736.45,71.6628185
99567.925,113489.929,34.3576758
104509.046,111340.691,29.0197209
96081.024,93234.112,12
103237.229,111833.288,21.4639549
100434.034,115100.298,13
94343.443,94931.565,7
94900.294,107737.142,9
98201.964,107509.054,123.6373193
98238.161,104883.979,37.247752
95932.533,98331.51,24.9408692
91840.26,101963.135,13
96430.073,97816.532,44.5184835
101727.434,102933.122,12
95169.515,89565.131,62.2458525
99725.6804,96300.1122,206.6959881
91500.212,99816.767,15.5
100971.913,111649.0988,33.6137336
103137.514,111208.131,31.9635035
97270.763,94832.764,26.9453333
101374.388,111853.438,64.1424143
99589.37,116210.225,8.2
93711.027,102720.513,35.3750004
101977.06,100631.951,22.1807471
90444.594,96681.303,11.6
104239.2,119560.774,8
100283.612,97723.067,9
100096.925,109073.882,29.0237179
103598.4,118315.824,50.5913127
101494.922,103033.494,191.0051243
86686.574,104007.605,9
93719.819,97624.827,44.89969
101090.302,117567.132,17
99664.188,113180.773,8.7
97707.923,100736.096,34.9172168
97808.069,117377.637,17
96978.725,118337.838,12.9
99468.319,110438.147,63.5658751
100719.062,112605.995,9
102931.001,118797.233,48.8023094
96216.882,94523.396,27.2873246
101417.714,99044.356,68.5377313
97720.966,96437.344,10
91597.858,105898.134,20.3468435
92639.41,107955.317,62.4814571
101305.117,112812.687,81.2494489
99483.861,117899.197,16
97066.681,95709.381,13
98790.785,115576.912,87.0742107
89004.174,99079.577,16
105210.42,114831.188,25.1253695
90182.81,102364.672,21.9592221
104923.926,113061.293,29.9757805
93905.782,110514.632,10
97025.794,105019.564,22.275367
100065.35976016,117957.98743109,16.5
95293.61,89346.287,85.3115468
97353.951,94616.187,41.5696108
99790.7315,114268.2431,31.0397327
98756.835,107858.861,57.2588333
101257.998,115787.008,22.1854156
95663.25,88445.984,15
95876.042,108236.344,41.4090862
103590.981,114614.284,56.2222889
91779.654,96111.463,49.50841
94027.383,95778.22,16.8
96159.849,109349.27,8.5
101650.488,118948.001,12.8
94107.12,97452.73,29.767395
96588.0647,114138.9352,7
96197.906,117982.669,9.7
96497.882,93295.097,35.0470327
89644.636,105484.052,12
104322.2,115362.858,23.2057561
99992.727,103538.346,21.5389412
100955.687,117507.603,38.3822721
103292.726,116405.568,19.1552889
95184.394,108884.633,21.5367331
101041.368,101783.901,18.3155145
90141.499,104853.454,32.0049091
96263.71,117962.804,8.3
99619.63,112267.609,110.7592643
97587.514,115721.664,68.3104201
95095.319,94389.363,9
95292.616,89570.83,10.6
89471.562,99088.704,16.8
92479.154,103738.721,25.8539331
96518.018,116622.815,13
103825.832,108197.901,9
97272.1994,113366.5501,29.767395
89106.5068,98764.8038,19.9816163
100262.22,108980.69,51.4107711
105376.65,109640.38,9
101955.529,117075.688,63.2042457
95699.18,117050.96,109.0539109
95818.491,107356.481,13
97887.18,93508.659,17.952196
96447.395,116885.429,38.5865289
99430.054,113295.931,15.8
98107.512,107823.668,14
97876.304,93433.068,16
97777.558,116402.543,33.4268123
101405.176,99101.585,14
99664.798,113172.827,25.5675753
93046.20729235,97018.65329321,41.3391976
101284.376,100186.769,65.2901341
100307.455,115490.314,31.6867815
92989.099,109998.237,16.6
100797.1302,109952.3651,13
102441.884,115262.05,17.952196
101136.496,105090.476,17
98473.379,115144,63.2042457
95982.613,93338.537,154.02687
91648.587,105221.183,57.5195804
100937.915,117398.937,26.3488676
105779.381,118985.495,16
91982.52,110233.967,40.2637063
96939.227,97131.38,17
100568.689,112000.475,134.1574862
102317.452,116509.351,81.4477243
100973.182,99336.779,23.2730265
98032.415,116665.833,10
100900.383,111824.782,96.2696572
93797.743,97042.678,60.7978315
95348.989,93275.594,94.7906076
99412.621,113279.609,9.6
100873.417,117377.861,31.6768881
95154.098,87112.726,79.9151894
97861.95,93462.263,17
102300.299,111776.666,54.4567061
104831.805,115979.889,35.2653961
97610.608,92236.237,26.1341691
95253.193,91032.241,12.6
104360.01,113087.533,5.4
96229.81,100979.811,50.4511069
96426.024,102641.202,13.7
101326.058,111940.975,58.9829017
95040.324,102886.905,29.2749932
96247.891,106317.677,8.8
103994.263,122639.046,17
105701.36,112149.28,15
97658.942,113469.047,21.3426454
104114.9086,122263.8846,7
89357.113,105410.493,13.5
104827.938,115554.583,56.5752922
99673.613,114237.12,104.2274829
95029.552,89839.038,13
101058.9757,101797.4493,13
91450.164,101931.23,38.7894758
95520.1094,109374.8815,23.5180698
89133.6127,104593.0674,9
99547.946,93289.678,35.1952879
98412.307,96977.563,81.0112705
95107.406,114484.865,31.7488275
100809.942,104807.276,20.1721842
104807.5896,114642.909,11
97922.069,93415.599,9.8
99548.122,112248.727,28.2477917
95208.607,113473.768,16.6
97089.43,117938.875,8
99457.374,113366.474,12.9
101320.475,100181.632,26.1081458
93075.885,104272.326,26.0478795
105745.355,118210.836,12.2
102056.777,115412.315,11
101407.73,111237.637,15
89587.033,101214.856,32.012993
93990.227,95760.446,61.4525793
101381.215,111260.308,54.0666378
105134.7377,116765.3977,12
95516.142,89313.806,9
94849.502,112770.431,8
100276.61,97726.002,10
98762.814,93279.81,7.1
97324.751,91479.546,148.3204884
93278.697,104981.81,96.36056
91791.062,90693.022,16
102141.251,103079.236,42.0561258
93552.635,102944.996,33.9166352
101429.656,102154.811,70.1436654
95913.576,112709.295,35.4930237
102880.588,106923.963,9.2
101939.386,110385.468,21.1607173
96674.643,115231.887,9.8
96761.94,117411.237,27.9175272
99556.753,113504.526,22.3477332
90911.401,96956.136,10
96984.613,95743.292,8
95081.21,90786.266,14.5
99360.658,95130.311,12.2
97260.13,117363.203,45.0601348
106032.559,112088.921,32.7381927
101950.478,113853.475,46.8622461
96973.538,88754.769,13
97044.101,93999.959,14
98409.151,112170.173,17
101720.23,103038.583,158.9453471
93187.14,102934.116,26.267596
90589.42,99913.97,21.0556502
95867.135,88171.279,22.3267538
96775.1358,113975.1575,12.5
